Niche,Warehouse_Source,Country,Tender_Count,Unique_Buyers,Median_Lean_Fit
Simple API / software integration,TED,CYP,1,1,20.0
Video production,TED,NO,1,1,82.0
Data cleaning / deduplication,Canada federal,Canada,1,1,15.0
Small IT equipment supply,TED,PT,1,1,20.0
Copywriting / editorial content,TED,LKA,1,1,82.0
Online forms / lightweight portals,TED,SI,1,1,60.0
Workflow automation / RPA,TED,FI,1,1,60.0
Microsites / campaign landing pages,TED,CZ,1,1,66.0
Animation / motion design,TED,BG,1,1,82.0
Online forms / lightweight portals,TED,CZ,1,1,20.0
Website design / redesign,TED,HU,1,1,88.0
Video production,TED,FIN,1,1,82.0
Graphic design / layout,TED,GRC,1,1,82.0
Document digitization / scanning,TED,PHL,1,1,92.0
AI chatbot / assistant,TED,AT,1,1,60.0
Brochure / flyer / poster printing,TED,RE,1,1,20.0
Document digitization / scanning,TED,COG,1,1,92.0
Graphic design / layout,TED,PL,1,1,20.0
Website design / redesign,TED,PAK,1,1,88.0
Document digitization / scanning,TED,KE,1,1,92.0
Transcription / minutes,TED,MD,1,1,90.0
Workflow automation / RPA,TED,MLT,1,1,74.0
Website maintenance / content updates,TED,HUN,1,1,74.0
Social media content production,TED,CI,1,1,82.0
Microsites / campaign landing pages,TED,CZE,1,1,82.0
Animation / motion design,TED,BGR,1,1,82.0
Labels / stickers / QR materials,TED,AT,1,1,74.0
Labels / stickers / QR materials,TED,SWE,1,1,20.0
Digital marketing / SEO / campaigns,TED,AT,1,1,60.0
Brochure / flyer / poster printing,TED,SK,1,1,66.0
Website design / redesign,TED,IND,1,1,88.0
Interpretation services,TED,POL,1,1,20.0
Copywriting / editorial content,TED,SEN,1,1,20.0
Subtitles / captions,United Kingdom,United Kingdom,1,1,88.0
Event communication materials,Canada federal,Canada,1,1,80.0
Illustration / infographics,TED,ESP,1,1,74.0
Document digitization / scanning,TED,BA,1,1,92.0
Desk research / information collection,TED,CZE,1,1,60.0
Survey data processing / coding,Canada federal,Canada,1,1,15.0
Interpretation services,Canada federal,Canada,1,1,15.0
Brand identity / visual identity,TED,GR,1,1,60.0
Proofreading / editing,United Kingdom,United Kingdom,1,1,88.0
Document digitization / scanning,TED,ZAF,1,1,92.0
Annual report / publication layout,TED,CHE,1,1,20.0
Graphic design / layout,TED,ROU,1,1,82.0
Social media content production,TED,BG,1,1,20.0
CMS development / migration,TED,CZ,1,1,60.0
Newsletter / magazine production,TED,CZE,1,1,20.0
Microsites / campaign landing pages,United Kingdom,United Kingdom,1,1,15.0
Web accessibility remediation,TED,ROU,1,1,74.0
Desk research / information collection,TED,FIN,1,1,82.0
Online survey setup,Ireland,Ireland,1,1,72.0
Brand identity / visual identity,TED,CYP,1,1,82.0
Web accessibility remediation,TED,CZE,1,1,82.0
Small IT equipment supply,TED,ZAF,1,1,70.0
Online survey setup,France,France,1,1,82.0
Promotional merchandise / branded items,Quebec,Canada - Quebec,1,1,15.0
Office / presentation equipment supply,Quebec,Canada - Quebec,1,1,74.0
Low-code / no-code implementation,TED,ISL,1,1,74.0
Event audiovisual / livestream,TED,SVK,1,1,82.0
Copywriting / editorial content,TED,CH,1,1,20.0
Newsletter / magazine production,TED,NOR,1,1,82.0
Video editing / post-production,TED,PRT,1,1,82.0
Copywriting / editorial content,TED,SE,1,1,82.0
Document digitization / scanning,TED,MD,1,1,92.0
Small IT equipment supply,TED,SK,1,1,60.0
Website maintenance / content updates,TED,LU,1,1,60.0
Labels / stickers / QR materials,TED,LUX,1,1,92.0
Desk research / information collection,Canada federal,Canada,1,1,15.0
Event audiovisual / livestream,Canada federal,Canada,1,1,15.0
Annual report / publication layout,Canada federal,Canada,1,1,80.0
Survey data processing / coding,TED,LTU,1,1,70.0
Video production,TED,LUX,1,1,82.0
Voice-over / narration / audio editing,TED,LUX,1,1,82.0
Workflow automation / RPA,TED,CY,1,1,74.0
Microsites / campaign landing pages,TED,FIN,1,1,20.0
Promotional merchandise / branded items,TED,POL,1,1,20.0
Office / presentation equipment supply,TED,MT,1,1,20.0
Workflow automation / RPA,TED,ISL,1,1,74.0
Small IT equipment supply,TED,FJI,1,1,20.0
Data entry / back-office processing,TED,DNK,1,1,74.0
Online forms / lightweight portals,TED,FI,1,1,60.0
Newsletter / magazine production,TED,DNK,1,1,82.0
Illustration / infographics,TED,POL,1,1,60.0
Office / presentation equipment supply,TED,MKD,1,1,20.0
Subtitles / captions,TED,NOR,1,1,74.0
E-learning / training content,TED,HU,1,1,74.0
AI chatbot / assistant,TED,GRC,1,1,60.0
Online survey setup,TED,CHE,1,1,74.0
Workflow automation / RPA,Ireland,Ireland,1,1,72.0
Digital marketing / SEO / campaigns,TED,LUX,1,1,60.0
Workflow automation / RPA,TED,DNK,1,1,74.0
Animation / motion design,TED,ESP,1,1,82.0
Labels / stickers / QR materials,TED,DK,1,1,82.0
Copywriting / editorial content,TED,CZ,1,1,60.0
Workflow automation / RPA,TED,AT,1,1,60.0
Photography,TED,AUT,1,1,82.0
Video editing / post-production,TED,ESP,1,1,82.0
Graphic design / layout,TED,SVN,1,1,20.0
Social media content production,TED,CYP,1,1,20.0
Data cleaning / deduplication,TED,LUX,1,1,70.0
